学号,性别,专业,班级,学习成绩,民主评议,科研成果,科创竞赛,社会活动,是否获得奖学金
222030,女,产业经济学,硕2201,91.18930631,3.546250801,9.680471206,85.04287851,57.50602741,0
222031,女,产业经济学,硕2206,54.96688742,36.53675954,64.44593646,29.41373943,38.75545518,1
222032,女,管理科学与工程,硕2204,96.96340831,16.73024689,65.0471511,74.91378521,97.81487472,1
222033,男,产业经济学,硕2207,70.78157903,79.35728019,63.73790704,52.68715476,92.31849116,1
222034,女,产业经济学,硕2206,5.703909421,63.58836634,61.16519669,8.603167821,34.20819727,1
222035,男,企业管理,硕2206,38.35261086,78.9086581,60.72878201,67.45811335,52.76345103,1
222036,女,产业经济学,硕2207,44.17249062,86.49861141,84.25244911,43.71776482,76.41529588,1
222037,女,企业管理,硕2202,87.16696677,51.96386608,45.65569018,12.5736259,81.06326487,1
222038,女,管理科学与工程,硕2201,78.17316202,98.21771905,96.69789727,97.24723045,42.15216529,1
222039,女,企业管理,硕2202,14.19415876,88.47621082,12.33558153,96.90542314,36.01794488,0
222040,女,产业经济学,硕2201,6.387524033,83.63597522,82.2870571,58.79085665,71.03183081,1
222041,男,企业管理,硕2202,81.65532395,39.9365215,48.09106723,64.23230689,75.1945555,1
222042,男,企业管理,硕2205,70.5465865,30.5978576,69.67375713,72.06030457,24.1645558,0
222043,男,产业经济学,硕2204,85.71428571,10.52278207,68.61476485,64.11633656,16.2755211,0
222044,女,产业经济学,硕2207,49.80315561,11.18503372,95.19943846,26.49922178,69.06033509,1
222045,男,管理科学与工程,硕2205,22.57148961,96.74977874,85.27176733,90.98788415,96.65517136,0
222046,男,产业经济学,硕2206,51.20700705,2.911465804,61.60771508,14.3467513,8.847315897,0
222047,女,管理科学与工程,硕2204,99.56358531,57.67082736,83.94726402,79.2321543,93.26761681,0
222048,女,管理科学与工程,硕2203,34.84603412,58.98922697,90.05706961,85.93707083,82.38166448,1
222049,女,企业管理,硕2207,36.82363353,4.019287698,75.26474807,99.82299265,90.93600269,0
222050,男,管理科学与工程,硕2203,34.31806391,70.75716422,61.42460402,40.19287698,49.36674093,1
222051,女,产业经济学,硕2201,41.99346904,83.90148625,8.157597583,7.467879269,77.22403638,1
222052,男,企业管理,硕2207,63.09091464,75.511948,11.9205298,80.45594653,95.22385327,0
222053,男,管理科学与工程,硕2205,78.81710257,27.30796228,85.14053774,48.35963012,58.66878262,0
222054,女,企业管理,硕2205,47.52342296,12.57667776,99.66124454,10.38544877,56.18152409,1
222055,男,管理科学与工程,硕2205,53.18155461,4.098635823,40.37903989,70.0369274,98.72127445,1
222056,男,管理科学与工程,硕2204,10.25421918,81.29825739,6.048768578,3.650013733,88.77834407,0
222057,男,管理科学与工程,硕2203,69.0847499,62.67586291,3.701895199,89.19339579,35.08713034,0
222058,男,产业经济学,硕2205,56.08081301,69.76836451,90.6552324,16.32129887,1.821955016,1
222059,女,企业管理,硕2201,25.31815546,62.24250008,37.0250557,82.71431623,5.395672475,0
222060,女,管理科学与工程,硕2203,98.48933378,64.63209937,93.37748344,85.34501175,45.70451979,0
222061,女,企业管理,硕2201,93.27372051,2.246162297,57.35648671,84.75295267,57.95159764,0
222062,女,企业管理,硕2206,21.55217139,83.05917539,85.89129307,32.50221259,25.91631825,1
222063,女,企业管理,硕2203,0.143436995,1.315347758,14.48103275,10.24201178,11.26133,1
222064,女,产业经济学,硕2201,11.03244118,50.05951109,27.46665853,33.23465682,87.66136662,1
222065,男,管理科学与工程,硕2205,2.111880856,96.81997131,34.7849971,95.79149754,14.58479568,0
222066,男,企业管理,硕2206,23.22763756,40.82766198,91.58299509,76.28101444,18.46980193,0
222067,女,企业管理,硕2202,31.51036103,38.14813684,37.16544084,64.70839564,14.10870693,1
222068,男,产业经济学,硕2206,2.392651143,80.37965026,11.03549303,95.88610492,48.91506699,1
222069,男,企业管理,硕2206,2.975554674,43.65672781,36.03930784,96.62465285,8.642841884,1
222070,女,产业经济学,硕2205,20.31922361,4.92873928,53.65153966,65.41032136,9.643848994,0
222071,男,管理科学与工程,硕2201,28.59279153,96.22791223,31.54393139,25.93462935,46.77571947,1
222072,女,管理科学与工程,硕2202,7.123020112,2.728354747,0.149540696,62.54463332,39.2834254,0
222073,男,产业经济学,硕2203,83.67259743,77.620777,11.64891507,20.27344584,37.20816675,0
222074,女,管理科学与工程,硕2202,83.13852351,29.71892453,63.19772942,14.13312174,44.07177953,0
222075,男,产业经济学,硕2205,45.42069765,99.65514084,16.75771355,12.11584826,77.76726585,0
222076,女,管理科学与工程,硕2204,0.408948027,99.44151128,74.27594836,65.59343242,99.38962981,1
222077,女,产业经济学,硕2206,59.0868862,93.74980926,7.428205206,86.59627064,18.89400922,0
222078,男,企业管理,硕2201,71.3248085,39.82665487,85.62883389,58.32392346,67.90063173,0
222079,男,管理科学与工程,硕2205,32.29468673,81.36539811,92.49855037,78.7591174,26.96005127,0
222080,女,管理科学与工程,硕2206,13.49223304,54.16730247,0.231940672,1.080355235,1.467940306,0
222081,女,产业经济学,硕2207,81.3104648,79.38474685,80.52919095,16.54408399,63.53038118,1
222082,男,企业管理,硕2202,87.2890408,82.38471633,66.5089877,50.37385174,6.607257302,1
222083,女,企业管理,硕2207,14.75569933,8.722190008,74.67268899,74.04400769,11.94799646,1
222084,男,产业经济学,硕2204,57.12759789,94.07940916,68.26685385,33.10342723,98.80062258,0
222085,男,企业管理,硕2205,3.845332194,84.01745659,2.444532609,85.72038942,24.06994842,1
222086,男,企业管理,硕2205,82.94320505,19.26023133,17.34061708,14.43220313,61.8243965,0
222087,女,管理科学与工程,硕2206,15.72008423,79.63499863,19.62950529,28.80642109,90.67659536,1
222088,女,企业管理,硕2207,56.15710929,98.58699301,28.26624348,97.57072665,76.87612537,1
222089,男,管理科学与工程,硕2207,40.56825465,4.937894833,14.55427717,20.24903104,21.36906034,1
222090,女,管理科学与工程,硕2201,47.91711173,74.99618519,34.30890835,2.618488113,5.160679952,0
222091,女,产业经济学,硕2203,86.40095218,92.27576525,27.41172521,9.170812098,15.99169897,0
222092,男,管理科学与工程,硕2203,48.36878567,15.32639546,4.358043153,71.0013123,9.479049043,0
222093,女,管理科学与工程,硕2205,10.01922666,16.85537278,51.78991058,88.2412183,82.4365978,1
222094,女,管理科学与工程,硕2201,57.30765709,5.969420454,53.18155461,42.84493545,97.29606006,0
222095,女,产业经济学,硕2204,61.62907804,41.59367656,64.78164006,10.01617481,67.75109104,0
222096,女,管理科学与工程,硕2205,50.69734794,74.01043733,15.87878048,20.02624592,72.76223029,1
222097,男,管理科学与工程,硕2201,5.682546464,23.54197821,0.125125889,89.80376598,82.75704215,1
222098,女,企业管理,硕2203,7.156590472,6.549272134,93.45988342,18.83602405,10.3152562,1
222099,男,产业经济学,硕2206,5.246131779,45.69536424,98.57478561,17.40775781,78.05719169,1
222100,女,产业经济学,硕2204,45.97003082,38.69747002,82.98287912,97.14041566,20.43519395,1
